"","npo","website","year_founded","source","partner_status","eligibility","recent_activity","address","latitude","longitude","municipality","department","address2","latitude2","longitude2","municipality2","department2","address3","latitude3","longitude3","municipality3","department3","address4","latitude4","longitude4","municipality4","department4","address5","latitude5","longitude5","municipality5","department5","size","budget","health","edu","comm_dev","youth_child","women_girls","enviro_cons","security","human_rights","animal_welfare","faith_based","religious_aff","us_tax_status","guate_reg","guate_govt_funding","seal_excellence","total_eval_score","efficiency","transparency","relevance","impact","sustainability"
"2515","Desarrollo Integral Campesina Dialogando en el Camino","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.7928393,-91.9250858,"Nuevo ProgresoÂ","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2516","Confraternidad Nuevo Progresense","NA",2007,"GuateGovtList","NE","NPI",NA,NA,14.7928393,-91.9250858,"Nuevo ProgresoÂ","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2517","Conservacion Integral de los Recursos Naturales Renovables (CIREN)","NA",2009,"GuateGovtList","NE","NPI",NA,NA,14.7928393,-91.9250858,"Nuevo ProgresoÂ","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2518","Desarrollo Sostenible de Ocos (ADSO)","NA",2009,"GuateGovtList","NE","NPI",NA,NA,14.510775,-92.1987033,"OcÃ³s","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2519","Vehiculos de Tres Ruedas del Pacifico (AVETRUPA)","NA",2016,"GuateGovtList","NE","NPI",NA,NA,14.510775,-92.1987033,"OcÃ³s","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2520","Integral Pro-Desarrollo de Ocos (AIPDO)","NA",2009,"GuateGovtList","NE","NPI",NA,NA,14.510775,-92.1987033,"OcÃ³s","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2521","Blanquense Ocos San Marcos","NA",2008,"GuateGovtList","NE","NPI",NA,NA,14.510775,-92.1987033,"OcÃ³s","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2522","El Caracol","NA",2011,"GuateGovtList","NE","NPI",NA,NA,14.510775,-92.1987033,"OcÃ³s","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2523","Desarrollo Integral de Pescadores Artesanales (ADIPA)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.510775,-92.1987033,"OcÃ³s","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2524","Desarrollo Integral del Sur Occidente (ADISO)","NA",2008,"GuateGovtList","NE","NPI",NA,NA,14.510775,-92.1987033,"OcÃ³s","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2525","Desarrollo Integral Nuevo Amanecer Stan","NA",2007,"GuateGovtList","NE","NPI",NA,NA,14.510775,-92.1987033,"OcÃ³s","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2526","Desarrollo Integral de las Comunidades de la Blanca Ocos Sin Finalidades Lucratives, Cuatro de Octobre (ASODICBO)","NA",2008,"GuateGovtList","NE","NPI",NA,NA,14.510775,-92.1987033,"OcÃ³s","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2527","Desarrollo de Comerciantes de Pajapita (ACOMPA)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.7247279,-92.0422125,"Pajapita","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2528","Comite Campesino en Busca de Tierra (COCABUSTIE)","NA",2019,"GuateGovtList","NE","NPI",NA,NA,14.7247279,-92.0422125,"Pajapita","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2529","Hospicio Santa Maria","NA",2007,"GuateGovtList","NE","NPI",NA,NA,14.7247279,-92.0422125,"Pajapita","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2530","Desarrollo Integral Campesina de la Costa Marquense (ADICCMAR)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.7247279,-92.0422125,"Pajapita","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2531","Mujeres Organizadas para el Desarrollo Integral (AMODI)","NA",2009,"GuateGovtList","NE","NPI",NA,NA,14.7247279,-92.0422125,"Pajapita","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2532","Desarrollo Integral Comunitario (ADICO)","NA",2007,"GuateGovtList","NE","NPI",NA,NA,14.7247279,-92.0422125,"Pajapita","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2533","Dulzura Educativa de Comunicacion Comunitaria (ADECC)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,15.0368903,-91.6908838,"RÃ­o Blanco","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2534","Manzanera Pro-Agua Potable y Reforestacion, las Manzanas Rio Blanco, San Marcos (AMPAR)","NA",2007,"GuateGovtList","NE","NPI",NA,NA,15.0368903,-91.6908838,"RÃ­o Blanco","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2535","Desarrollo Integral Santa Rita (Santa Rita, ADISRI)","NA",2007,"GuateGovtList","NE","NPI",NA,NA,14.9609188,-91.7337477,"San Antonio SacatepÃ©quez","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2536","Miniriego Agua Tibia y Servicios Varios, de Aldea Candelaria Siquival, Municipio de San Antonio SacatepÃ©quez, Departamento de San Marcos (ADRAT)","NA",2008,"GuateGovtList","NE","NPI",NA,NA,14.9609188,-91.7337477,"San Antonio SacatepÃ©quez","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2537","Pastores Evangelicos del Suroccidente de Guatemala (Pastores Evangelicos)","NA",2011,"GuateGovtList","NE","NPI",NA,NA,14.9609188,-91.7337477,"San Antonio SacatepÃ©quez","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2538","Desarrollo Humano el Progreso (ASODEHP)","NA",2017,"GuateGovtList","NE","NPI",NA,NA,14.9041154,-91.7859006,"San CristÃ³bal Cucho","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2539","Proyeccion Social Barranca Grande el Calvario (APROB)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.9041154,-91.7859006,"San CristÃ³bal Cucho","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2540","Barranca Grande el Calvario (ABGEC)","NA",2008,"GuateGovtList","NE","NPI",NA,NA,14.9041154,-91.7859006,"San CristÃ³bal Cucho","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2541","Campesinos Unidos Rancho el Padre (ASOCAUNRAPA)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.9041154,-91.7859006,"San CristÃ³bal Cucho","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2542","Agropecuaria para el Desarrollo Integral Comunitario de San Cristobal Cucho","NA",2007,"GuateGovtList","NE","NPI",NA,NA,14.9041154,-91.7859006,"San CristÃ³bal Cucho","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2543","Campesina Nueva Vida (ACNV) Canton el Calvario, Aldea Barranca Grande, del Municipio de San Cristobal Cucho, Departamento de San Marcos","NA",2006,"GuateGovtList","NE","NPI",NA,NA,14.9041154,-91.7859006,"San CristÃ³bal Cucho","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2544","Integral Comunitaria de Desarrollo, Aldea las Majadas (ASICODAM)","NA",2007,"GuateGovtList","NE","NPI",NA,NA,14.9041154,-91.7859006,"San CristÃ³bal Cucho","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2545","Desarrollo Integral Mujeres Cristobalenses Triunfadoras","NA",2008,"GuateGovtList","NE","NPI",NA,NA,14.9041154,-91.7859006,"San CristÃ³bal Cucho","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2546","Movimento Campesino Pro-Tierras de la Aldea la Industria del Municipio de San Jose el Rodeo Departamento de San Marcos","NA",2009,"GuateGovtList","NE","NPI",NA,NA,14.9149133,-91.9782686,"San JosÃ© El Rodeo","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2547","Desarrollo Integral la Union (ASODECO)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.9149133,-91.9782686,"San JosÃ© El Rodeo","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2548","Abastecedores Rodeenses (ADAR)","NA",2007,"GuateGovtList","NE","NPI",NA,NA,14.9149133,-91.9782686,"San JosÃ© El Rodeo","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2549","Desarrollo Integral Paula Maes (ADIPAM)","NA",2016,"GuateGovtList","NE","NPI",NA,NA,15.23385,-91.974814,"San JosÃ© OjetenÃ¡n","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2550","Desarrollo Integral de Comunidades Ojetecas (ADICO)","NA",2009,"GuateGovtList","NE","NPI",NA,NA,15.23385,-91.974814,"San JosÃ© OjetenÃ¡n","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2551","Desarrollo Integral de San Jose Ojetenam Nuevo Amanecer (ADISAJO)","NA",2009,"GuateGovtList","NE","NPI",NA,NA,15.23385,-91.974814,"San JosÃ© OjetenÃ¡n","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2552","Mujeres Marquenses Nueva Esperanza San Jose Ojotenam (ACIMUMANUEVAESAJO)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,15.23385,-91.974814,"San JosÃ© OjetenÃ¡n","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2553","Pro Desarrollo San Jose Ojetenam (PRODESJO)","NA",2009,"GuateGovtList","NE","NPI",NA,NA,15.23385,-91.974814,"San JosÃ© OjetenÃ¡n","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2554","Desarrollo Integral Ixcamalence (ADIXCA)","NA",2019,"GuateGovtList","NE","NPI",NA,NA,15.030411,-91.7372776,"San Lorenzo","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2555","Comerciantes Lorenzanos del Centro Comercial y Mercado Municipal del Municipio de San Lorenzo, Departamento de San Marcos (ACL)","NA",2017,"GuateGovtList","NE","NPI",NA,NA,15.030411,-91.7372776,"San Lorenzo","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2556","Solidaria de Desarrollo Multisectorial (ASODEMU)","NA",2008,"GuateGovtList","NE","NPI",NA,NA,15.030411,-91.7372776,"San Lorenzo","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2557","Campesina de Desarrollo Integral Agrosostenible Guatemalteca (ACADEIAGUA)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2558","Desarrollo Integral de Produccion Apicola Marquense Mieles Selectas (ADIPAM)","NA",2011,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2559","Desarrollo Integral Mundo Moderno (ASODIMM)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2560","Espirita Luz Verdad y Paz y Amor y Caridad","NA",2016,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2561","Marquense para el Desarrollo Integral y la Proteccion del Medio Ambiente (ASOMARQUENSE)","NA",2009,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2562","Union Campesina Agua Caliente (AUCAC)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2563","Culturarte San Marcos (ASOCULTURARTE)","https://www.facebook.com/culturartesanmarcos/",2017,"GuateGovtList","NE","NPI","Y",NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","N","N","N","N","N","Secular",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2564","Beneficio Cultural Caminantes, Monsenor Julio Amilcar Bethancourt (Caminantes)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2565","Ataxas","NA",2008,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2566","Pequenos Productores Agricolas Flor del Cafe","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2567","Desarrollo Integral Buenos Aires","NA",2019,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2568","Pequenos Productores Agricolas Comunidades Unidas (ACIPACU)","NA",2010,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2569","Del Agua, de la Aldea San Rafael Soche, San Marcos (ACAGUA)","NA",2011,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2570","Comision Paz y Ecologia (COPAE)","http://copaeguatemala.org/2016/",2013,"GuateGovtList","E","Y","Y","2 avenida, LotificaciÃ³n la 12,  Casa #3, Zona 4, San Marcos",14.961238,-91.8075,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","N","N","N","Y","N","N","Secular",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2571","Contadores Publicos y Auditores Marquenses (ACOPAMARQ)","NA",2017,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2572","Desarrollo Integral Bataneca (ADIB)","NA",2009,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2573","Desarrollo Integral de Tohaman Sibinal (ADITS)","NA",2009,"GuateGovtList","NE","NPI",NA,NA,14.9631033,-91.8100138,"San Marcos","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2574","Amigos Del Desarrollo","NA",2014,"GuateGovtList","NE","NPI",NA,NA,NA,NA,NA,"Zacapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2575","Campesina Cascada de Santa Rosa, UsumatlÃ¡n, Zacapa (ACASAR)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,NA,NA,NA,"Zacapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
